timestamp,appliance_type,appliance_sub,rated_wattage,star_rating,inverter_mode,setpoint_temp,outdoor_temp,humidity,thermal_delta,hour_of_day,is_peak_hour,is_morning_peak,day_of_week,is_weekend,season,occupancy,usage_factor,grid_voltage,power_kwh,cost_inr
2023-01-01 00:00,Desktop PC,PC Gaming,400,3,0,9.3,9.3,38.0,0.0,0,0,0,6,1,0,2,0.8274,235,0.0844,0.3798
2023-01-01 01:00,Laptop,Laptop Gaming,65,3,0,11.6,11.6,54.0,0.0,1,0,0,6,1,0,1,0.862,235,0.01429,0.0643
2023-01-01 01:15,Refrigerator,Fridge Large,400,4,0,12.0,12.0,32.6,0.0,1,0,0,6,1,0,1,0.7764,235,0.07764,0.3494
2023-01-01 02:00,AC,AC 1.0T,900,1,1,21.7,9.5,55.8,-12.2,2,0,0,6,1,0,2,0.5159,235,0.11607,0.5223
2023-01-01 03:00,LED Bulb,LED 9W,9,5,0,8.6,8.6,34.2,0.0,3,0,0,6,1,0,1,0.755,235,0.00173,0.0078
2023-01-01 04:15,Washing Machine,WM Front Load,500,3,0,10.0,10.0,32.8,0.0,4,0,0,6,1,0,1,0.8452,235,0.10565,0.4754
2023-01-01 05:00,Desktop PC,PC Standard,300,3,0,10.3,10.3,49.2,0.0,5,0,0,6,1,0,1,0.8378,235,0.06409,0.2884
2023-01-01 06:00,Ceiling Fan,Fan Large,75,3,0,12.1,12.1,42.7,0.0,6,0,1,6,1,0,4,0.8622,215,0.01794,0.1346
2023-01-01 06:15,Refrigerator,Fridge Large,400,4,0,10.0,10.0,35.5,0.0,6,0,1,6,1,0,2,0.8075,215,0.08963,0.6722
2023-01-01 07:15,Geyser,Geyser Standard,2000,3,0,13.2,13.2,46.6,0.0,7,0,1,6,1,0,2,0.8516,215,0.48729,3.6547
2023-01-01 07:30,LED Bulb,LED 12W,12,5,0,15.8,15.8,56.0,0.0,7,0,1,6,1,0,4,0.7664,215,0.00235,0.0176
